why_art,llama_generated,human_codes,clean_llama_generated,BLEU Score,BERT Score,ROUGE Score
"It was art because it brought about a deeply emotional response in me, one which was impacted by the perspective of the player. Art, to me, is a purely emotional experience that changes with the perspective of the one experiencing it. Oxenfree fit this description when I played it. ","[emotional response; ```emotional response```, art as an emotional experience; none]",emotional response,emotional response; emotional response; art as an emotional experience; none,1.0244914152188952e-231,{0.6359502673149109},{0.33333333333333337}
It was fantasy scenery.  Nice colours.,[fantasy scenery; emotional response; nice colors],fantasy scenery; nice colours,fantasy scenery; emotional response; nice colors,8.38826642100846e-155,{0.8640354871749878},{0.6}
It was just so beautiful like if I took a screenshot it would be a painting,"[aesthetics, comparison to other art forms (painting)]",beauty; like a painting,aesthetics; comparison to other art forms (painting),0.0,{0.5291653275489807},{0.18181818181818182}
It was something about the way it made me feel. The ability for interpretation felt similar to being in a museum.,[emotional response; interpretation; museum-like experience],feelings; interpretation,emotional response; interpretation; museum-like experience,0.0,{0.6987770199775696},{0.25}
It was the first that came to mind because there was more to it than just gameplay and story. It was trying to say something about the videogames themselves and how a player think and perceive. ,"[""emotional response""; ""artistic elements""]",more than just gameplay and story; message,emotional response; artistic elements,0.0,{0.5139118432998657},{0.0}
"It was visually beautiful, immersive and made me ignore the horrible mechanics that would have otherwise ruined it.",[immersion; emotional response],visual beauty; immersion,immersion; emotional response,0.0,{0.6741743087768555},{0.3333333333333333}
"It's one of those game that are loaded with emotional implications, make a clever and conscious use of game mechanics, and where every aspect of the game supports every other aspect of the game and the overall play experience. I would differentiate it from something like Candy Crush in that Candy Crush doesn't strike me as a game that is trying to convey expression. This War of Mine goes beyond entertainment through its gameplay, narrative, music, art. I think an artistic game tries to use its medium to convey something that goes beyond the gameworld - in the same way that a book or a movie are not self-contained and are usually a means for the artist to express something else.","[emotional response, reflects the range of emotional reactions participants have towards games, conveying expression beyond entertainment, using the medium to convey something beyond the gameworld]",emotional implications; clever and conscious use of game mechanics; coherent whole; conveying something beyond the game world; artistic expression,emotional response; reflects the range of emotional reactions participants have towards games; conveying expression beyond entertainment; using the medium to convey something beyond the gameworld,2.1797081356031365e-78,{0.6836774349212646},{0.3181818181818182}
"Its sheer evocativeness, and nothing else.","[""evocativeness""; ""emotional response""]",evocativeness,evocativeness; emotional response,0.0,{0.7705144882202148},{0.5}
Level design ,"[""level design""]",level design,level design,1.491668146240062e-154,{1.0},{1.0}
"Like a film or book, it was clearly intended to elicit an emotional response and tell a story. Unlike some other games, the story was not there to connect the gameplay: rather, the gameplay was there to advance the story.","[emotional response, storytelling, gameplay and narrative integration]",emotional response; gameplay in service of story; analogous to other forms of art,emotional response; storytelling; gameplay and narrative integration,3.272561325903966e-155,{0.6499236226081848},{0.3}
Likely because it was presented to me in the context of an example of a video game as art. But I accepted this because it was a very different type of experience delivered in such a simple and effective package. ,"[emotional_response, novelty_and_simplicity, effective_delivery, acceptance_due_to_presentation]",context of playing; different type of experience,emotional_response; novelty_and_simplicity; effective_delivery; acceptance_due_to_presentation,0.0,{0.46739867329597473},{0.0}
Mostly that it just is. It doesn't ask you to do anything - you get to explore and experience it however you choose.,[freedom to explore and experience the game in any way the player chooses; emphasis on exploration and discovery; lack of specific goals or objectives; focus on the artistic elements of gameplay],it just is; not asking anything from the player,freedom to explore and experience the game in any way the player chooses; emphasis on exploration and discovery; lack of specific goals or objectives; focus on the artistic elements of gameplay,3.2122473350116486e-155,{0.4286803901195526},{0.09999999999999999}
Mostly the storyline and the detail put into the environment ,"[""storyline""; ""emotional response""]",storyline; detailed environment,storyline; emotional response,1.384292958842266e-231,{0.6853835582733154},{0.3333333333333333}
"Mostly what I described above. Elaborating a little, the game play was not as much of a focus, despite it being a game. It felt more like you were participating in an interactive graphic novel/art project. The emphasis was on the emotions it evoked and connections you felt with the characters -- or rather how you can put yourself very easily in their shoes based on your own experiences with love","[emotional connection with characters, emotional response (``emotional response``), interactive graphic novel/art project, emphasis on emotions evoked, participation in an artistic experience, focus on character connections and emotions rather than gameplay]",felt like participating in an interactive graphic novel; emotions; empathy with characters,emotional connection with characters; emotional response (emotional response); interactive graphic novel/art project; emphasis on emotions evoked; participation in an artistic experience; focus on character connections and emotions rather than gameplay,4.884188340600192e-155,{0.6440832614898682},{0.2325581395348837}
My emotional response to the events that were being depicted and the lingering thoughts and ideas that I was left with after each experience that I had with the game. ,"[emotional response, events depicted in the game, lingering thoughts and ideas after playing the game]",emotional response; lingering thoughts and ideas,emotional response; events depicted in the game; lingering thoughts and ideas after playing the game,0.195647514979229,{0.7187624573707581},{0.5714285714285715}
"Per definition, art is something that is man-made and supposed to primarily provoke thought or emotion. I generally consider video games art, but this moment was especially emotionally provocative.","[emotional response, definition of art, video games as art, moment of emotional response]",provoking emotion,emotional response; definition of art; video games as art; moment of emotional response,0.0,{0.40421029925346375},{0.13333333333333336}
"Playing AC Origins felt like art for a number of reasons. Firstly, it was visually captivating. Between the landscapes, ruins, temples and other architecture, etc- the environment is like an exploreable piece of visual art. The writing was also very good, I felt. Playing a well-written game can feel like being immersed in a very long interactive film. And I most definitely view film as art. AC Origins had a compelling and engaging main character and storyline. In fact, I cried a number of times during my playthrough of the game while watching some of the more impactful cut scenes. Much like films are large collaborative pieces of art, I definitely believe video games are as well. ","[visual art, well-written game, immersive experience, collaborative art form]",visually captivating; good writing; immersion; made me cry; games are art similar to films,visual art; well-written game; immersive experience; collaborative art form,6.034940380417626e-232,{0.5989903807640076},{0.25}
"probably the sad day, mixed to the graphics and the overall experience with the world organisation ","[emotional response, graphics, sadness]",sad day mixed with the game experience,emotional response; graphics; sadness,0.0,{0.45597949624061584},{0.18181818181818182}
"really all video games are art, but from me to truly enjoy the art I need to be fully engaged in its world ",[engagement; emotional response; immersion],all games are art; engagement with the world,engagement; emotional response; immersion,0.0,{0.5416138172149658},{0.16666666666666666}
"Soundtrack, narrative told through exploring the world and items","[emotional response, soundtrack, narrative told through exploring the world and items]",soundtrack; environmental storytelling,emotional response; soundtrack; narrative told through exploring the world and items,1.0003688322288243e-231,{0.6461120843887329},{0.14285714285714288}
"Soundtrack, way of storytelling",[emotional response; soundtrack; way of storytelling],soundtrack; way of storytelling,emotional response; soundtrack; way of storytelling,0.5081327481546147,{0.8905892968177795},{0.8}
Specifically because it made me evaluate how I live my life and the impact I can have on my community. Art is a reflection of life but at the same time makes us reflect on our lives.,[self-reflection; emotional response],reflection about life and the impact one can have,self-reflection; emotional response,0.0,{0.4322916269302368},{0.15384615384615383}
"Story telling, visuals, voice acting and the fact that I felt connected to the protagonist.","[""emotional response""; ""storytelling""; ""visuals""; ""voice acting""]",story; visuals; voice acting; connection with the protagonist,emotional response; storytelling; visuals; voice acting,5.431059661402121e-155,{0.738071620464325},{0.42857142857142855}
Strong emotional reaction,[emotional response; strong emotional reaction],strong emotional reaction,emotional response; strong emotional reaction,6.86809206056511e-78,{0.7869755029678345},{0.7499999999999999}
"The ability to easily become totally immersed and lost within the game, and lose my thoughts and just appreciate whatever it is that I am immersed in. That is art.",[emotional response; immersion; loss of thoughts; appreciation of game's artistic elements],immersion; losing oneself in the game,emotional response; immersion; loss of thoughts; appreciation of game's artistic elements,1.0003688322288243e-231,{0.5941696763038635},{0.2222222222222222}
"The amazing attention to detail in the visual space, from architecture/infrastructure, wildlife and plants, geographic/environmental features such as mountains, rivers, lakes, deserts, forests and prairies. ","[attention to detail, visual space, architecture/infrastructure, wildlife and plants, geographic/environmental features]",attention to detail,attention to detail; visual space; architecture/infrastructure; wildlife and plants; geographic/environmental features,5.477489369001354e-155,{0.5598958134651184},{0.375}
"the artstyle, the music, the thought process that must have gone into the design, the meaning of it, showing the meaning through audiovisuals AND gameplay. The ludnonarrative harmony.","[artstyle, music, meaning, audiovisuals, gameplay, ludonarrative harmony]",art style; music; thoughtful design; conveying meaning through both audiovisuals AND gameplay; ludonarrative harmony,artstyle; music; meaning; audiovisuals; gameplay; ludonarrative harmony,1.984994460013648e-78,{0.8100972771644592},{0.5714285714285714}
the attention to detail and the appreciation of hours devoted to making it look so,[appreciation of effort and time; emotional response],attention to detail; effort in making the game,appreciation of effort and time; emotional response,9.709385502639237e-232,{0.5653044581413269},{0.13333333333333333}
"The author created an interactive story that tells of characters and their stories. Meant to invoce strong emotions and attachment to these characters  with no regard to profitability, marketability, or mass appeal of the game as a product. ",[emotional response (``emotional response``); interactive storytelling; focus on artistic expression rather than profitability],invoking emotions; attachment to characters; not caring about commercial potential,emotional response (emotional response); interactive storytelling; focus on artistic expression rather than profitability,0.0,{0.5806847214698792},{0.08695652173913043}
The beautiful and calm design and the use of a very emotional story without the protagonists speaking. ,"[emotional response, beautiful and calm design]",beautiful and calm design; emotional story with mute protagonist,emotional response; beautiful and calm design,3.764142464340334e-78,{0.7596310973167419},{0.5333333333333333}
The beautiful scenery juxtaposed with a tragic story,[emotional response; beautiful scenery; tragic story],beautiful scenery juxtaposed with tragic story,emotional response; beautiful scenery; tragic story,8.38826642100846e-155,{0.6346513032913208},{0.6666666666666666}
"The choices I made affected the outcome, and there were themes to the story that stuck with me once I was done playing. The graphics were also artistically done and beautiful.","[emotional response, the choices i made affected the outcome, there were themes to the story that stuck with me once i was done playing, graphics, the graphics were also artistically done and beautiful]","choices that affected the outcome, lasting impact; beauty",emotional response; the choices i made affected the outcome; there were themes to the story that stuck with me once i was done playing; graphics; the graphics were also artistically done and beautiful,3.700592241674297e-155,{0.5760340094566345},{0.24390243902439024}
"The combination of beautiful graphics, a heart-warming theme, and equally captivating music.","[""heart-warming theme""; ""emotional response""]","combination of graphics,theme, music",heart-warming theme; emotional response,0.0,{0.47730398178100586},{0.20000000000000004}
"The competition between different pressures (described above), and possibly the drab color pallette and pixelation, made me feel a sense of despair that would not be possible outside of art, absent real personal tragedy.","[emotional_response, artistic_elements]",sense of despair,emotional_response; artistic_elements,0.0,{0.41300585865974426},{0.0}
"The connections made , the emotional attachments cultivated, and mostly the balance struck between button mashing and true real feel action. When your choices carry over from series to series, and in the finale' your in a better position because you had wisdom and thought ahead it's a glorious feeling. ",[emotional response; player choice and agency; balance between gameplay mechanics and realism],connection with characters; emotional attachment; balance between button mashing and true action; choices that carry over,emotional response; player choice and agency; balance between gameplay mechanics and realism,4.4594254026474685e-155,{0.669935941696167},{0.28571428571428575}
"The culmination of this game really made it art. You play the whole game as Arthur as he tries to make decisions beneficial to his family/friends without hurting others. This moral struggle follows him the whole game and culminates in the ending with the good or evil ending. The good ending has you fighting off a traitorous friend and fighting him off before Arthur dies. The music, the graphics, the location of his death and everything  leading up to it was simply astonishing ",[emotional response; moral struggle; artistic elements; storyline; character development],"culmination of the game; moral struggle; astonishing music, graphics, location",emotional response; moral struggle; artistic elements; storyline; character development,5.4493116732898584e-155,{0.6353471875190735},{0.2105263157894737}
The depth of emotion it evoked. ,"[""emotion""; ""emotional response""]",depth of emotion,emotion; emotional response,0.0,{0.5707100033760071},{0.3333333333333333}
"The details of the characters, the music, the peaceful setting, the sense of relaxation it brings when playing","[emotional response; emotional response, visual details, auditory details]",detailed characters; music; peaceful setting; sense of relaxation,emotional response; emotional response; visual details; auditory details,0.0,{0.5433309674263},{0.125}
The emotional impact.,"[emotional response; reflects the range of emotional reactions participants have towards games, encompassing feelings of curiosity, uncertainty, and puzzlement as they engage with the artistic elements of gameplay.]",emotional impact,emotional response; reflects the range of emotional reactions participants have towards games; encompassing feelings of curiosity; uncertainty; and puzzlement as they engage with the artistic elements of gameplay.,7.919883909890055e-232,{0.47640156745910645},{0.06666666666666667}
"The emotional, and intellectual response it elicited in me. ","[emotional response, intellectual response]",emotional and intellectual response,emotional response; intellectual response,1.0547686614863434e-154,{0.8047201037406921},{0.75}
"The experience really makes you feel empathy towards the other players going trough the same fight that you are - a feeling that is often lacking in the highly competitive nature of gaming. Also, during this section, the song that is playing (Weight of the world, End of Yorha version) fits the theme of never losing hope perfectly and urges you to fight on. Also, the songs last part - humming of the chorus - is actually performed by the games developers - whose very names you just shot out of the dark sky. 
When you receive help from another player, it's not just someone deciding to randomly help you for a trophy or for fun. That person had to DELETE their save file in order to send you - and only you - that help. And they got absolutely nothing in return, no trophy, no unlock, no extra cutscene (well, they get a different background in the main menu but that is hardly worth deleting your file for). They deleted all their hard work, all the time and effort they put into the game, just to help you - a total stranger. And they will never even know who or even that they helped. I had never seen a truly altruistic action performed by another player in a video game - up until this point.",[empathy; altruism; emotional connection; hope; music; player interaction],empathy towards other players; music fits the emotional theme; truly altruistic action,empathy; altruism; emotional connection; hope; music; player interaction,6.570351225189682e-232,{0.7271421551704407},{0.2}
"The experience was very immersive, it was formed of an intriguing combination of symbols that were left unexplained and it was surprising and perfectly timed.","[uncertainty; emotional response, immersion, symbolism, surprise, timing]",immersion; unexplained aspects; surprise; perfect timing,uncertainty; emotional response; immersion; symbolism; surprise; timing,1.4740564900137075e-231,{0.7098634839057922},{0.4615384615384615}
The fact that each asset was hand drawn in such a unique style.,[unique style; emotional response],unique hand-drawn style,unique style; emotional response,1.2882297539194154e-231,{0.565136730670929},{0.5}
"The fact that it gave me the same feeling as going to a gallery. A broadening of understanding, and a new perspective on events I have never seen (although art can be something I relate to as well, in this case it wasn't because I've never been in a warzone). ","[emotional response, comparison to gallery experience, broadening of understanding, new perspective, relatability to personal experiences]",evoking same feelings as a gallery; broadening of understanding; new perspective,emotional response; comparison to gallery experience; broadening of understanding; new perspective; relatability to personal experiences,0.16451929399933107,{0.7658454775810242},{0.4615384615384615}
"The fact that it was able to invoke such strong emotions from me. It resembles a mother awaiting her children who are off at war, only to be returned a flag for solace. To lose everything you cared for on earth and no longer wishing to be apart of it any longer.","[emotional response, loss, grief, longing, motherly love, war, sacrifice, solace]",invoking strong emotions,emotional response; loss; grief; longing; motherly love; war; sacrifice; solace,0.0,{0.45965903997421265},{0.15384615384615383}
The feelings I felt while playing and the complete different feelings others felt while playing. ,"[emotional response, feelings, different feelings]",invoking different feelings in each player,emotional response; feelings; different feelings,6.867731683891005e-155,{0.532505989074707},{0.3636363636363636}
The feelings I felt while playing it.,[emotional response; player experience],feelings,emotional response; player experience,0.0,{0.4056366980075836},{0.0}
The feelings it gave me. I've never felt that way from movies or games or music. Art is the only explanation.,[emotional response; unique experience; artistic elements of gameplay],feelings,emotional response; unique experience; artistic elements of gameplay,0.0,{0.36562201380729675},{0.0}
"The game involves some very interesting themes such as becoming an adult, mental illnesses, accepting change, and questions existence and life and our place in the universe. The art style itself is also very lovely, with cute anthropomorphic animal characters, but I think its simplicity helps a player to focus on the narrative and the themes better, as it did for me. ",[emotional response; accepting change (as it did for me)],interesting narrative and themes,emotional response; accepting change (as it did for me),0.0,{0.3634437322616577},{0.0}
"The game is not competitive or exciting, but rather an experience of emotion and storytelling. The game itself is beautiful graphically, but more than that it stays in the mind like a good book, a beautiful painting, or an amazing piece of music. It is this ability for the game to tell a story in an engaging way without resorting to action or puzzle that makes this game art. Not that games with action or puzzle are not art, but the art in the game comes from its serenity and calm while being about something traumatic and painful.","[emotional response, serenity and calm, storytelling, graphical beauty, trauma and pain]",emotion and storytelling; lasting impact; telling a story without resorting to action or puzzle,emotional response; serenity and calm; storytelling; graphical beauty; trauma and pain,9.056777564992551e-232,{0.6353716254234314},{0.23999999999999996}
"The game made me, without even realizing it, made me prioritize my own goals and desires at the expense of my own personal experiences and the kind of person I would want to be. I won, but the game made me ask myself if winning was worth it. It made me feel and introspect. That is what made the game art.",[introspection and self-awareness; emotional response],made me ask questions; feeling; introspection,introspection and self-awareness; emotional response,9.97486269044271e-232,{0.6243007183074951},{0.16666666666666666}
The game pushed the boundaries of the medium and made me reflect on myself and the human condition.,"[""reflecting on oneself and the human condition""; ""emotional response""]",pushing the boundaries of the medium; reflection,reflecting on oneself and the human condition; emotional response,1.0518351895246305e-231,{0.5678046941757202},{0.125}
"The game was aesthetically very pleasing, for one. All of the creative parts of the game felt imaginative and evoked emotion. It also left me thinking about big questions. The game is very beautifully crafted to be an immersive experience that you can get lost in and live out this life in the shoes of an empty void creatures who was sacrificed to save a whole kingdom that still eventually started falling. I think the part that made me feel like the game was art the most was the world building. It combines great writing, great music and great visuals.","[emotional response, world building, aesthetics, immersion, writing, music, visuals]","aesthetically pleasing; imaginative; evoked emotion; left me thinking; immersive experience; world building; combination of writing, music, visuals",emotional response; world building; aesthetics; immersion; writing; music; visuals,2.7706385066968433e-155,{0.7264602780342102},{0.46153846153846156}
"The gameplay, the music, the world design, all of it. Video games are an art form of itself.",[art form; gameplay],"combination of gameplay, music, world design; games are art",art form; gameplay,1.8734367966736672e-232,{0.6233620643615723},{0.16666666666666666}
The graphics and the story.,"[""graphics""; ""story""; ""emotional response""]",graphics; story,graphics; story; emotional response,1.2882297539194154e-231,{0.8476800918579102},{0.6666666666666666}
"The graphics of the game, the story line, and the character development were done so well that I consider it art. The graphics are seemingly flawless, with the sun light angles being presented realistically, the colors are vibrant and varied, the story is compelling, the scenery itself tells a story (with the machine coming our of the mountain)...
",[graphics; story line; emotional response],graphics; story; character development,graphics; story line; emotional response,1.2183324802375697e-231,{0.8004264235496521},{0.4444444444444445}
The graphics style paired with the feeling of grandiousness,[graphics style; grandiosity],graphics style paired with the feeling of grandiousness,graphics style; grandiosity,2.614591671051252e-232,{0.679976224899292},{0.36363636363636365}
The graphics were beautifully detailed and the colors and lighting effect were stunning. It was also a very peaceful moment and I was able to stop in the game and enjoy it.,[emotional response; peaceful moment],detailed graphics; stunning colors and lighting; peaceful moment,emotional response; peaceful moment,3.506226123743032e-155,{0.6665633916854858},{0.3333333333333333}
"The imagery, the music, the voice acting, and the intricate minor storylines.","[""imagery""; ""music""; ""emotional response""]",imagery; music; voice acting; intricate storylines,imagery; music; emotional response,5.780789590099596e-155,{0.7289541959762573},{0.4}
The immersion ,[emotional response; immersion],immersion,emotional response; immersion,1.384292958842266e-231,{0.5390015840530396},{0.5}
"The integratedness of the game - how everything (mechanics, writing, worldbuilding, art) works together to create a world and a narrative, in which very particular themes, experiences and ideas can be dealt with. The interesting tension between the way it captures and expresses an experience, and my awareness of its game-ness. That balance between expressing ideas and experiences, and keeping a distance from those things which I think is a feature of all really interesting art.  ","[integratedness of the game, balance between expressing ideas and experiences, and keeping a distance from those things, captures and expresses an experience, game-ness, themes, experiences, and ideas, worldbuilding, mechanics, writing, and art working together]",how everything works together; tension between artistic expression and gameness; balance between expressing something and maintaining distance from it,integratedness of the game; balance between expressing ideas and experiences; and keeping a distance from those things; captures and expresses an experience; game-ness; themes; experiences; and ideas; worldbuilding; mechanics; writing; and art working together,1.899350969242183e-78,{0.6682322025299072},{0.25925925925925924}
The level of depth and complexity of the deeply ingrained philisophical and ethical questions it both poses to the player and explores within its narrative combine in such a way that calling it anything but art is a disservice to what it is,"[emotional response, depth and complexity, philosophical and ethical questions]",depth and complexity; posing questions,emotional response; depth and complexity; philosophical and ethical questions,4.335118471269586e-78,{0.761547327041626},{0.5714285714285714}
The level of detail and vast depth of description given.,[vast depth of description; emotional response; level of detail],level of detail; depth,vast depth of description; emotional response; level of detail,6.7393716283177006e-155,{0.7868735194206238},{0.46153846153846156}
The meaning of the story was open to interpretation but felt significant regardless of how you interpreted it. There was a feeling that you were just revealing a story that already existed and experiencing art by uncovering it yourself rather than making something yourself with the game.,"[emotional response, story interpretation, uncovering a pre-existing story]",open to interpretation; player uncovers rathers than makes,emotional response; story interpretation; uncovering a pre-existing story,1.0832677820940877e-231,{0.5299076437950134},{0.23529411764705882}
"The mix between exceptionally good story telling and philosophy and the beautiful, yet apocalyptic, surroundings.",[storytelling; emotional response],"combination of story, philosophy, and beauty",storytelling; emotional response,0.0,{0.4557858109474182},{0.0}
"The music, combined with its message.",[emotional response],combination of music and message,emotional response,0.0,{0.46061649918556213},{0.0}
The people making these builds and sharing them are not doing it for any other purpose than art because they are impractical for fighting mobs or gaining resources or anything else in the game,[artistic expression; impracticality of builds for practical use in the game],artistic intent of shared player creations,artistic expression; impracticality of builds for practical use in the game,1.1896457329133973e-231,{0.5440264344215393},{0.23529411764705885}
"The poignant, evocative writing and depth of emotion, and the fact that even though I wasn't making choices that affected the narrative in any way, moving through the environment helped me feel connected to the player character's life.","[emotional response; emotional connection to the player character's life, poignant and evocative writing, depth of emotion, connection to the game's narrative]",poignant and evocative writing; depth of emotion; feeling connected,emotional response; emotional connection to the player character's life; poignant and evocative writing; depth of emotion; connection to the game's narrative,0.2765355515845788,{0.7550849914550781},{0.5}
"The powerful of imply narration and emotional communication without need to state.
And the possibility offer different meanings to the same games elements ","[emotional response, narration, emotional communication, different meanings to game elements]",implicit narration and emotion; multiple meanings; interpretation,emotional response; narration; emotional communication; different meanings to game elements,0.0,{0.7089800238609314},{0.3529411764705882}
"The quality of the worst that was put in as well as the over all experience of playing the game. The message also helped. It wasnt just a save the world type situation or a shoot and kill type game, even though technically it is a linear railroaded type game, it still gave you some agency of interpretation which I think is present in all art.",[agency of interpretation; emotional response],quality; overall experience; message; interpretation,agency of interpretation; emotional response,0.0,{0.6474106311798096},{0.20000000000000004}
"The questions it raised and the highly emotional connection that emerged between me and the game, the experience.","[emotional response, raised questions]",raising questions; emotional connection,emotional response; raised questions,1.2882297539194154e-231,{0.7982588410377502},{0.5}
"The scenario because of the colours it used, the design of the environment, the music it involved and the different events that made it more exciting. ","[visual design, sound design, gameplay mechanics]",colours; design; music; different events,visual design; sound design; gameplay mechanics,1.1640469867513693e-231,{0.6580774784088135},{0.1818181818181818}
"The scene had both stunning visuals and audio, and it invoked a sense of nostalgy and longing, just like watching or listening to some other pieces of art might do.","[emotional response, visual and audio elements, nostalgia and longing]",stunning visuals and audio; nostalgy and longing; evoking feelings like other art,emotional response; visual and audio elements; nostalgia and longing,8.962731118674859e-232,{0.6261166334152222},{0.4761904761904762}
The sheer beauty of the landscape,"[emotional response, visual aesthetics]",beauty of landscape,emotional response; visual aesthetics,0.0,{0.42530980706214905},{0.0}
"The slowness, storyline, drawing style and music/sounds of the game made it feel very artistic. ","[""emotional response""; ""slowness""; ""storyline""; ""drawing style""; ""music/sounds""]","combination of slowness, storyline, visual style, music/sounds",emotional response; slowness; storyline; drawing style; music/sounds,1.1200407237786664e-231,{0.7568451762199402},{0.625}
The soundtrack and the immersion of the game,[immersion; soundtrack],soundtrack; immersion,immersion; soundtrack,0.0,{0.830093502998352},{0.5}
The story mirrored the artistic direction of a film,"[emotional response, the story mirrored the artistic direction of a film, the game's narrative resembled a film's artistic direction, the game's storytelling was similar to a film's]",film-like story,emotional response; the story mirrored the artistic direction of a film; the game's narrative resembled a film's artistic direction; the game's storytelling was similar to a film's,7.992219124248642e-232,{0.4603266417980194},{0.0588235294117647}
"The story rich environment, the lack of game mechanics ",[emotional response; story rich environment; lack of game mechanics],story-rich environment; lack of game mechanics,emotional response; story rich environment; lack of game mechanics,0.44632361378533286,{0.8711663484573364},{0.8750000000000001}
"The story was building around you without any real hint at what was actually going on, until you reach the point where you find out what the actual plot and setting is, then realize what your actions actually meant. Coupled with a dramatic visual setting and well fitted music.","[uncertainty; emotional response, dramatic visual setting, well-fitted music, plot twist, story building]",meaning revealed afterwards; dramatic visuals; fitting music,uncertainty; emotional response; dramatic visual setting; well-fitted music; plot twist; story building,9.788429383461836e-232,{0.6774148941040039},{0.4}
"The story, mainly. The visuals and audio effects were just bonuses.","[""story""; ""emotional response""]",story,story; emotional response,0.0,{0.4807851314544678},{0.5}
"The things that made me consider this experience art was my understanding and appreciation of the effort and time of took to give the player the unique experience the game was aiming for. A seamless marriage between gameplay, sound track, and level composition. ","[appreciation of effort and time put into the game's development, unique experience aimed for by the game, seamless marriage between gameplay, soundtrack, and level composition]","understanding and appreciating the effort of making the game; combination of gameplay, music, level design",appreciation of effort and time put into the game's development; unique experience aimed for by the game; seamless marriage between gameplay; soundtrack; and level composition,4.902401913312598e-155,{0.6418790221214294},{0.29268292682926833}
The visual aesthetics combined with the purpose of the game. the graphics really succeeded in setting the overall feeling.,"[visual aesthetics, purpose of the game, graphics]",combination of visual aesthetics and purpose,visual aesthetics; purpose of the game; graphics,1.4740564900137075e-231,{0.6261049509048462},{0.4615384615384615}
The way it looks and how you get to experience it and explore the different terrain makes me feel like IÃÂÃÂÃÂÃÂm in a huge art gallery. Everything is meant to be looked at and explored with the intent that it is living art.,[artistic elements of gameplay; immersive experience],visual design; feeling of exploring a huge art gallery,artistic elements of gameplay; immersive experience,7.060301868108111e-232,{0.5825421810150146},{0.13333333333333333}
"The way it made me reflect on my past gaming experiences, and the conventions and mechanics weÃÂÃÂÃÂÃÂve grown to expect from games",[reflection on past gaming experiences; emotional response],reflection about games,reflection on past gaming experiences; emotional response,1.1200407237786664e-231,{0.5695381760597229},{0.4}
"The way it moved me and inspired such strong emotions that even now, just remembering it, it causes me to tear up.",[emotional impact; emotional response (``emotional response``)],strong emotions; memorable; lasting impact,emotional impact; emotional response (emotional response),0.0,{0.5890135765075684},{0.3636363636363636}
"The way that the music, colour palette, and ambiance enhanced the game mechanics. It also featured classical piano pieces that I think added to the artistic feel. I don't think it's enough for a game to simply ""look good"" or ""look real"". I think, like art, there's a craft to providing a sensory experience that moves the viewer to connect with the art.","[emotional response; engage with artistic elements of gameplay, sensory experience, sound and music, color palette and ambiance, game mechanics enhanced by artistic elements, comparison to art and craft]","combination of music, colours, ambiance, mechanics; moving experience",emotional response; engage with artistic elements of gameplay; sensory experience; sound and music; color palette and ambiance; game mechanics enhanced by artistic elements; comparison to art and craft,7.919883909890055e-232,{0.6491681337356567},{0.22222222222222224}
"The way the visuals made me shift my worldview, art is about emotion and evoking thought, and that scene did just that.",[emotional response; art; worldview; thought-provoking],made me shift my worldview; emotion; evoking thought,emotional response; art; worldview; thought-provoking,6.686350417856737e-232,{0.5912507176399231},{0.28571428571428575}
"The writing already is a work of art, it's crafted in such a thoughtful and intelligent way that makes you feel immersed in the moment. The set design is phenomenal as all the spectacle that you see is literally and figuratively out of this world. You can feel the wonder and fear of every turn, the crew feel alive and believable. The sound design and choice of sounds are perfect. This game is exactly the combination of all forms of art into one experience.","[immersion, craftsmanship, believability, wonder, fear, sound design, artistic elements]",thoughtful and intelligent writing; immersion; phenomenal set design; feeling of wonder; combination of all forms of art,immersion; craftsmanship; believability; wonder; fear; sound design; artistic elements,5.690998490426158e-232,{0.6650372743606567},{0.15384615384615383}
There is a deeper motiv to the game or the story than just getting it over with. There are feelings and lessons in it,"[""feelings""; ""emotional response""]",deeper motiv; feelings and lessons,feelings; emotional response,0.0,{0.5983269810676575},{0.25}
"There was something very serene and beautiful about being elevated and getting to see the rest of this particular level of the game. However, more than just seeing the rest of the level, it gave me a sense of being a part of something bigger than myself; here I was, a super skilled ninja set on battling it out with ferocious beasts and expert samurai, and I was just appreciating the view of the sunset. It made my game character feel like an insignificant speck among the rest of the game world, despite me playing the so called ""main character"". What makes a gaming experience feel like art to me is when it is able to take my breathe away and immerse me in a completely fictional world. So to me personally, In that sense, gaming is most like art when it imitates real life - when it makes me feel as though I am simply one small part of something bigger. ","[emotional response, immersion, realism]",serene and beautiful; sense of being part of something bigger; feeling like an insignificant speck; breath-taking; immersion,emotional response; immersion; realism,0.0,{0.5128234028816223},{0.0909090909090909}
"This game felt like art because it questioned the authority of the player, you WERE playing, but then also not really, that was very new
to me at the time, where most games had pretty clear rules and objectives and influences from other media forms were unheard of","[uncertainty; novelty/innovation, questioning authority, rule-breaking, blurring boundaries]",questioning the authority of the player,uncertainty; novelty/innovation; questioning authority; rule-breaking; blurring boundaries,1.1200407237786664e-231,{0.46425047516822815},{0.26666666666666666}
